Rev_Title,Rev_Rate,Rev_Bdy,Rev_Hlp,Rev_Home,Prod_ID
Une souris fort mal conçue,1.0, les jeux ne reconnaissent pas la moitié des touches ce qui est plus que problématique le logiciel conçu pour la souris est scandaleusement mal conçu erreurs de traduction aucune aide pour comprendre ce que lon fait aucune ergonomie tutoiement etc on en est à se demander si on na pas téléchargé par erreur un logiciel pirate la souris a des options par défaut mal paramétrées qui ne peuvent être changées seulement désactivées  exemple  je nen ai rien à cirer davoir  boutons pour modifier la vitesse de mon curseur qui réagissent dailleurs avec beaucoup de latence si je ne peux pas les affecter à autre chose jai dû aller sur des tutos fait par des vidéastes pour savoir ce que je devais faire et tous indiquent que cette souris est difficile voire pour certaines fonctionnalités impossible à configurer cest sans doute une question de gout mais la molette est trop sensible et le pire pour la fin la souris fait buguer lordinateur qui ne peut démarrer si elle est brancher à son allumage passez votre chemin,1,France,3
Une souris Gamer TOP,5.0,bonjour jai acheté cette souris en voyant quelle avait de bonne critiquesetant un joueur je ne pouvais que avoir envie de tester cette souris et je ne suis pas déçu la précision est hors normesla prise en main est ergonomiquele réglage du pois est parfait pour avoir un équilibre parfaitle câble est tissé et une prise usb glod ainsi quune application facile à utiliser une fois prise en mainenfin une fois sur la table vous aurez plus envie de la lâcher il ne faut pas oublier que cest une souris optique je vous conseil donc de avoir un tapis de sourissi mon avis vous a été utile merci de le mettre utile,2,France,3
Bonne souris mais pas parfaite,4.0,au déballage la qualité ma surpris je mattendais à mieux les clics droitgauche mavait lair fragile puis au final ça reste correct a lutilisation ça reste agréable les boutons sur la tranche gauche sont agréables cependant si lont veux se servir des boutons  cela offre des doubles clics non voulu au retour sur le clic gauche principal ce qui est décevant et qui nest pas possible sur du jeu type fps cela ma fait demander un retour de la sourisla précision est par contre superbe rien à dire dessus et son poids reste correct le logiciel pour paramétrer les modes de jeu réglages actions de bouton nest pas très simple à appréhender mais reste un plus non négligeable le réglage des dpi ce fait parfaitement alors  me semble inutilisable  à  est bien suffisant pour une utilisation standardpour finir bonne souris bonne précision mais pas parfaite son prix de base  me semble tout de même excessif à  euros ok,1,France,3
Super molette,5.0,tres bon produit  là molette peut étre lancer et vas tourner longtemps idéal pour visualisé des grandes pages internet ou des dossiers musiques et autres possibilité de bloqué là molette en dur pour avoir une résistancequelque clique sur là souris est vous modifiez le dpi une fluidité incroyable en maintenant un bouton vous etes au ralentie avec le curseur idéalpois réglable patin pour poser le pouce douce  agréable à touché led personnalisableprogrammable souvent en pro bon prixje recommandesi mon avis vous à étés utiles merci de laisser un pouce,0,France,3
Très bonne souris paramètrable,5.0,points positifs  bonne prise en main réglage du poids nombreuses possibilités de paramétrages plusieurs profils possibles très large intervalle de dpi associé à un capteur de bonne qualité robustepoints négatifs  je trouve que les  boutons sur le côté nommés  et  sur la souris sont légèrement trop en arrière par rapport à la position du pouce pas très facile à nettoyer et étant donné quil y a beaucoup de boutons et jointures les saletés sy introduisent facilementbientôt  an que je lutilise et pour le moment aucun problème rencontré jen suis très satisfait,0,France,3
Excellente souris très complète et vraiment accessible pour du gaming chill.,5.0,la  est une excellente souris voilà maintenant  mois que je lutilise pour le jeu vidéo et voici mon ressentiau niveau prise en main cest clairement le top du top lergonomie a vraiment été travaillée de façon à optimiser le confort du joueur et ce notamment grâce au repose pouce et à la sensibilité des clicson sent réellement une rapidité dexécution dans le clic gauche et tous les boutons  sont paramétrables de façon à optimiser votre rapiditéjen viens maintenant à un point qui me gêne un peu son poids dans la boîte il vous sera fourni des plombs de  chacun afin dalourdir la souris personnellement je la trouve assez lourde sans ajouter de plomb dedans et ce peut être assez gênant si vous jouez à des fps en ligneje la recommanderais donc à des joueurs cherchant le plaisir et le divertissement mais absolument pas à un usage compétitif,0,France,3
Quasi parfaite,4.0,logitech est excellent comme toujours robuste efficace ergonomique  jachète leurs produits depuis des année avec toujours plus de satisfactionle seul reproche que je ferais à cette souris est la proximité du bouton  et  il marrive parfois de cliquer sur les deux en même temps dans la précipitation le bouton se trouvant tout en bas sur le coté gauche de la souris  en dessous du  est peut être un poil trop loin ce qui oblige à un léger mouvement de la paume pour latteindre et je ne pense pas avoir de petites mains pourtant je mets ces deux défauts à mon gout sur le compte de lanatomie il me parait en effet difficile de concevoir un produit parfaitement adapté a toutes les morphologiesglobalement jen suis très content et je recommande ce produit,1,France,3
Génialissime,2.0,souris super jai testé la corsair  la logitech est beaucoup mieux beaucoup plus ergonomique surtout dans la pomme de la main elle est bien bombée donc elle tient très bien en main jai une main entre moyenne et grande la  beaucoup moins bombée donc tient moins bien main je recommande fortement cette souris pour les fps une référence  comme dans de nombreux test prise palm et claw grip sans pbcommentaire mis a jour  mois après le clic droit devient défectueux quand jappuie dessus des fois il ne se passe rien ou il y a un décalage avant que le clic fonctionne quand je reste clic droit enfoncé des fois laction de viser en jeubsarrête voir sarrête et reprend bien pénible dans un fps je vais ouvrir ticket pour faire marcher la garantie cest la première fois que jai une souris défectueuse en moins  an en  ans de fps du coup je diminue le nombre détoile que je corrigerai en fonction de la prise en charge en garantie,0,France,3
Souris haut de gamme de qualité,4.0,les   le logiciel ghub pour gérer la souris une petite merveille la qualité globale plutôt bonne excellente autonomie de la batterie le packaging toujours de qualité avec logitechles   l’ergonomie des boutons à revoir certains sont beaucoup trop mal positionné préférant les souris un peu lourde je trouve la  un peu légère même avec les poids le temps pour la recharger complètement très long heureusement elle est fonctionnel même en charge,2,France,3
Souris presque idéale,4.0,bonne souris pour les personnes en prise claw grip mais pour le palm grip il faut avoir une petite mainjai une main de taille moyenne et la souris semble toute petite pour moi jai du changer ma prise par rapport à ma précédente souris roccat kone  et cela nécessite un nouvel apprentissage complet  cest assez déroutant pour une souris si bien notée sur tous les sites spécialisés que ce point soit si peu mis en avantléclairage led est peu utile et peu mis en avant car cantonné au logo et à  barres correspondant au profil sélectionnéle logiciel lgs est mis à jour régulièrement et est assez stable expérience oblige et ça cest un bon pointje me suis limité a environ  dpi les  annoncés ne doivent servir quà une poignée dutilisateurs écran  pouces définition  par exles poids livrés bien protégés  grms permettent de mieux ajuster la prise en main de la souris,2,France,3
Précise et fonctionnel,5.0,parfait pour geeker un peu petite je trouve du coup un petit temps dadaptation pour ne pas cliquer sur tous les boutons sans faire exprès mais une fois bien prise en main elle est génial aucun problème pour suivre sa cible sur apex ou encore viser les têtes sur counter strike ses nombreux boutons personnalisable combiné avec le logiciel logitech et son prix pas chère en font je trouve une très très bonne souris gamingdes petits détails secondaires font aussi plaisirs mais je vous laisse le découvrir par vous même,1,France,3
"Souris adaptée pour le jeu, mais surtout pour le confort",5.0,cette souris est vraiment confortable la prise en main peut faire bizarre au début mais on sy habitue très vite et si vous êtes habitué à manier une souris plus lourde des poids sont même fournis avec les matériaux utilisés sont très bons et robustes cela fait bientôt deux ans que je lai et je nai eu aucun souci les boutons supplémentaires sont extrêmement agréables pouvoir revenir en arrière sur son navigateur internet ou son explorateur de fichers est fantastique et la quantité de boutons permet de contrôler un bon nombre de logiciels comme un lecteur  dun simple mouvement de doigt la molette quon peut débloquer de son axe pour scroller à une vitesse faramineuse est également très agréable la lumière quelle émet est purement accessoire mais ça reste une touche sympathique je recommende définitement cette souris à toute personne qui en cherche une performante cest selon moi la meilleure du marché surtout à un tel prix,0,France,3
[Après 1an d'utilisation] Presque parfait,3.0,après  pile dutilisation la souris commence à avoir quelque problème notamment au niveau du clic de gauche touche principale en effet elle a perdu en sensibilité du coup je ne peux plus maintenir la touche pour surligner ou déplacer un fichier sur mon ordinateurexemple  si je veux déplacer un fichier je vais maintenir la touche puis déplacer la souris hors cette fois elle relâchera aussitôt même si mon doigt est toujours en appui sur la touchecest un peu embêtant car cest la touche la plus est importantela souris est extraordinaire elle répond à mes besoins techniquesje vais racheter la même puisque je me sert énormément de la fonction qui permet de verrouiller ou déverrouiller le roulement libre de la molette  mais essayer de corriger ce défaut sur le long terme,0,France,3
"Super souris, bien finie, agréable au toucher et une app qui joue à cache-cache",5.0,une super souris  le toucher est agréable elle est bien finie le seul défaut que je pourrais lui reprocher cest quil faut appuyer un tout peu pour que les poids prennent leur emplacement si on souhaite lalourdircest très subjectif mais moi qui suis habitué à des modèles beaucoup plus lourd jai été surpris quelle me soit si légèreen revanche on peut remarquer quil ny pas dinformation concernant lapplication qui permet de personnaliser et de configurer finement sa souris il faudra aller le chercher sur le site de logitech et chercher logitech gaming software  dans longlet support,1,France,3
Passez votre chemin,1.0,après  mois dutilisation je ne recommande pas cette sourisla prise en main est mauvaise mais vraiment très mauvaise et si vous avez des mains un peu plus grande que la moyenne sans non plus avoir les paluches de hagrid vous sentirez très vite une sensation dinconfort car votre main népousera tout simplement pas la forme de la souris et sera recroquevilléde plus cette souris fais énormément transpirer de la main je joue sur pc depuis  ans et jamais je nai eu une telle sensation dinconfort même avec des souris moins chère quant à la glisse cest une vaste blague l’espèce de matière caoutchouteuse qui englobe le coté de la souris empêche les patins qui on pourtant lair de bonne qualité de faire le job du coup cette dernière nest pas lisse tapis de souris steelseries format xxlquant à lentretien de cette dernière cest un vrai calvaire le caoutchouc est plein de rainures dans les quelles se loge toute les saletés possible est imaginable et ce nest pas tellement compatible avec le problème de transpiration quelle fera subir à votre mimineje vous déconseille cette souris ou à la limite en dépannage,1,France,3
Logitech ou rien du tout !!,5.0,cette souris est absolument parfaite pour les ceux qui aiment bien tenir leur souris pleine paumejamais fatigué réglages personnel de la sensibilité du capteur pour en changer a la volée selon le jeux elle peut montée jusquà  ppimais a moins davoir un écran de  mètres sur  il ne vous serviront probablement jamaispersonnellement je ne dépasse pas les  ppi sur un  lorsque je joue a counter strike certainement un des jeux les plus nerveux qui soit et redescend a  ppi sous wot worl of tankqualité de glisse qualité de prise en main molette débrayable et cliquable pratique pour descendre rapidement sur une page internet ou pour aller chercher la première des  sauvegardes pour l’écrasé  ça va  sa suffit  seul bémol le dernier bouton sous le pouce est rarement reconnu dans les jeuxsinon que du bon ,0,France,3
Un régal !,5.0,je quitte une rat  dont le bouton central ne réagissait plus au clic pour cette petite bombe de chez logitechpoids ajustable  profils à configurer rétroéclairage useless javoue excellente prise en main un poil longue mais ne me dérange pas la configuration logicielle est déroutante de prime abord mais une fois passée cest un gain en précision au bout il est même possible de configurer le capteur en fonction de votre type de tapis et cela marche vraiment  la roue est cranté mais un clic sur un bouton la libère top lors du surf sur le neta voir sa durée mais pour ce prix  foncez  idéale sur du fpsseul bémol le clic sniper au pouce un poil trop facile à enfoncer mais facilement désactivable,1,France,3
Faux contact,1.0,bonjourfaux contact sur la prise usb des quelle bouge un petit peu extrêmement dérangeant il s’agit de la  eme que je reçois après un échange du au même problème en lisant ce commentaire objectivement je penserai que la personne a un problème au niveau de ses ports usb cependant mon ordinateur et tout neuf et j’ai fait le test avec  autre objet usb  un casque et une souris et aucun problème de l’autre coté il s’agit bien d’un problème lié a la souris décevant pour ce prix,3,France,3
le top de la souris,5.0,acheté pour remplacer ma  filairecest la même mais sans fils très précise très rapide pas de temps de latence réglable en poids confortable avec une bonne glissepas grand chose à redireon regrettera juste la molette de défilement qui a été remplacé par une en plastiquepersonnellement je préférais lancienneje lutilise avec le tapis de recharge qui va bien et plus besoin de recharger la sourisle sans fils il ny a que ça de vraije recommande,0,France,3
La qualité Logitech pour une souris gamer,4.0,"souris gamer avec un beau design une molette à deux modes cranté ou roue libre  boutons presque tous programmables sauf le clic gauche le clic droit et le bouton pour le mode de la molette avec logitech gaming softwareelle est grosse mais tient bien en main et est suffisamment lourde avec les poids fournis amovibles que lon peut mettre où on veut dans lemplacement sous la souriselle glisse bien même sans tapis de souris mais pour un tracking parfait jai acheté un 

tapis de souris logitech 

  la molette en mode roue libre peut tourner toute seule lorsque lon bouge fortement ou agite la souris mais pas de problème en mode cranté le site les numériques avait consacré un dossier à propos de ce problèmea part ça je recommande car même si ce modèle existe depuis plusieurs années il reste de bonne qualité",1,France,3
La meilleure G502 !,5.0,jai eu la core et la hero autant dire que cest une forme de souris à laquelle je suis très habitué mais il faut dire que logitech sest surpassé icidabord pour comparer avec la hero la lightspeed parait beaucoup plus légère que sur le papier où il nest annoncé que  de différence mais la disparition du cable a un impact très positif sur le maniement de la sourisensuite jai été très étonné par la sensation des boutons principaux qui ne semblent plus flotter comme sur la hero mais au contraire ont lair bien plus ferme et précis à cliquer idem pour la molette qui a perdu du poids mais est plus agréable à manier quavanten fait cest simple tout ce que fait la hero la lightspeed le fait mieux et cest dommage quon ne puisse pas copier les paramètres de lune vers lautre dans g hubniveau charge je lai reçu hier matin jai joué quelques games de shoot et bossé de longues heures sur un flyer et il reste  de batterie je mattendais à devoir la charger tous les jours mais ça va plutôt être  à  fois par semaine,0,France,3
Rapport qualité / prix,5.0,niquel vraiment cela na rien à voir avec les souris bas de gamme quon pourrait trouver dans le commerce  bien plus maniable fluide précise et solide que les autres  par dessus tout une excellente prise en main le bémol cest que je ne pourrai sûrement pas toucher à des souris plus bas de gamme haha petit point technique pas de chance je suis ergonome héhé  il faut tout de même avouer que les deux touches  et  accolées au clic gauche sont difficilement atteignables précisément cela oblige un déplacement trop important de lindex par rapport au majeur statique qui reste logiquement sur le clic droit je suis droitier de ce fait cela créait de la lenteur chez lutilisateur le temps de la manip mais aussi une certaine légère douleur à cause de lécartement trop important entre ces deux doigts donc au moins pour ma part je nutilise jamais et déconseillerai dutiliser les touches  et  mis à part cela  et  sont très facilement atteignables et deviennent incontournables pour des jeux réactifs jusquelà je nai pas eu lopportunité dutiliser la touche pour les snipers celleci mériterait un très léger rapprochement vers le pouce mais bon dun utilisateur à un autre cest compliqué de normaliser cela ,0,France,3
"Souris de bonne qualité, agréable à utiliser et très pratique",5.0, nombreux boutons personnalisables logiciel logitech qui permet de créer des macros et des profils molette débrayable possibilité de moduler le poids même si je ne men sers pas molette bi directionnelle hautbas  gauchedroite sous forme de clics bouton sniper qui permet de réduire momentanément la sensibilité ce qui permet plus de précision souris gamer polyvalente convient tout à fait à la bureautique souris un peu grande pour les petites mains mais ça va jarrive tout à fait à men servir câble qui nest plus tressé contrairement à ce qui se faisait chez logitech il y a quelques années et est donc moins efficaceune grosse amélioration à apporter ce serait de pouvoir switcher dun ordinateur à un autre mais bon cest dabord une souris de gamer pas de bureautique même si elle accomplit très bien ce rôle,0,France,3
Une souris clairement surestimée,3.0,jai eu la chance de profiter dune belle promotion sur cette souris ayant pas mal dexpérience sur les souris de jeu je suis tout de même assez déçu par celle ci le plastique fait vraiment toc la sensation de poids est vraiment moyenne dans la main par contre elle est ergonomique jai fini par acheter autre chose je la conserve en réserve souris pour main assez grande je dirais en tout cas cest mon cas et elle tombe bien sous la main le capteur présenté comme adapté à toutes surface ma fait défaut sur un de mes tapis,0,France,3
Très bonne souris,4.0,bonjourpour le moment jai jamais était véritablement déçu par logitech je ne suis pas non plus un grand fan de la marque mais jai u plusieurs produits de cette marque comme une souris mx  qui fonctionne encore très bienjai voulue changer pour simplement me faire plaisir et je doit dire que le plaisir est la bonne souris que cette g  et super précision avec son capteur heros jai pas ajouter les poids qui sont fournie avec parce que jaime quand ça reste léger et donc pas besoin dutiliser les poids ce qui ma fait pencher sur lachat de cette souris a étais un bon retours dautres utilisateur mais également le fait que jai un clavier et un casque logitech et que les trois produits sont parfaitement reconnue par le logiciel ghub de la marque pas besoin davoir des logiciels supplémentaires et différents donc,0,France,3
Bonne souris gamer,5.0,souris achetée en remplacement de ma  qui commençait à avoir des problèmes de clic je cherchais une souris équivalente taille bouton ergonomie et seule la  répondait à ce critère  les autres ayant tendance à être plus petite la préhension de la souris est bonne avec une très bonne glisse elle est un peu plus petite que la  et un peu moins haute mais on se fait à la différencele rétro éclairage peut être modifié en fonction du profil ce qui est assez pratique jusqu’à  profiles différents peuvent être enregistrésdes poids sont fournis pour ajuster le poids de la souris en fonction de ses goûtsle course du clic est courte mais suffisantea noter que pour les fps il est possible de paramétrer une touche de « précision » qui réduit la sensibilité tant qu’elle est maintenuebref une bonne souris plutôt orientée gamer et compatible avec les grandes mains ,0,France,3
"Rapport qualité-prix moyen, ne pas acheter à plein tarif",3.0,construction solide tous les éléments semblent fiables la précision du capteur est réelle les clics sont agréablesmais ergonomie moyenne  certains boutons sont difficiles daccès taille de main moyenne  en particulier le bouton  à lavant et le bouton de résolution g sur la tranchecomparée à une souris de qualité classique le gain en précision est réel mais nest pas significatif pour un gamer ordinaire les options de personnalisation sont utiles mais ne justifient pas le prix même avec le logiciel installéles options rvb sont limitées et les couleurs ne sont pas très fidèles aux réglagesgros point noir  la roulette de défilementpas suffisamment bien fixée elle bouge lors de mouvements rapidesle défilement est précis mais le clic central a tendance à faire tourner la roulette en même temps ce qui peut entraîner des problèmes en jeuen mode roue libre la précision du défilement est très réduite surtout comparé à danciennes roulettes libres de la marque ce mode défilement ultrarapide nest vraiment utile que pour atteindre directement les extrémités dune pagele bilan reste positif si vous ne cherchez pas à utiliser toutes les options de manière intensive rapport qualitéprix moyen ne pas acheter à plein tarif,0,France,3
Parfait,5.0,jai toujours acheté mes souris chez logitech elles sont peu chère par rapport a la concurrence elles sont maniable avec des revêtement de qualité un bon confort et surtout leur logiciel est excellentcette souris là ne va pas changer mon point de vue par rapport a cette marque elle est excellente avec une très bonne prise en main un poids modifiable grâce a de petit aimants la glisse est très bonne tout comme le capteur même si je nai vu aucune différence daccroche suivant le type de tapis choisis dans leur logiciel les boutons tombent parfaitement au niveau des doigts la roulette est aussi de qualité avec juste comme défaut un peu bruyante en mode cranté sinon à part ça tout est niquelje recommande vivement cette souris,1,France,3
Super produit. Qualité au top et fonctionnalités nickels!,5.0,je suis un grand joueur sur tous les types de jeux jai donc eu par le passé pas mal de souris gamer dans les mains razer deathadder logitech  steelseries rival  et donc cellecile résultat cest que la qualité de finition est au rendezvous la prise en main est géniale et on peut adapter le poids à son confortprésence dune multitude de boutons accessibles sans pour autant être obligatoire le côté rvb leds lumineuses est discret mais très sympa pour peu quon y prête attentionmention spéciale à la molette débrayage par un bouton et qui permet dêtre le scroll master sur facebook d je plaisante dniveau logiciel on peut tout faire avec même calibrer la détection de la glisse sur le tapis de souris en fonction de la matière de celuici fini donc la souris qui glisse mal sur un tapis rigide mou ou un bureau trop brillant,1,France,3
Vraiment la meilleure souris sur le marché !,5.0,franchement ma logitech  filaire est tombé en panne je suis con aussi mon chauffage soufflant était sur le cable et jai cherché pendant plusieurs semaines une souris pour la remplacer après divers essais rien arrive à la cheville de cette série de logitech jai donc pris une souris nonfilaire et celle là est parfaite une ergonomie parfaite une précision parfaitevraiment jai pas besoin de faire un long pavé pour çaachetez là les yeux fermé linvestissement vaut le coup ,0,France,3
Câble endommagé !!!,1.0,jai acheté cette souris logitech en juin  câble de la souris se défait et ce depuis que je lai reçu de plus en plus  le problème ne vient pas de moi car le défaut était déjà présent à la réceptioncest probablement un défaut qui napparaît pas sur toutes les souris mais en ce qui me concerne jai un ami qui à eu le même problème que moi avec ce même vendeur,4,France,3
50/50,5.0,jaime beaucoup cette souris qui est pour moi de la taille et du poids idéaltoutefois le logiciel pour la paramétré est très moyenet trop de boutons dessus nest pas une si bonne idéecela marrive parfois en jeu de changer la sensibilité en essayant de faire autre chose ce qui peut être très désagréabledans lensemble je suis malgré tout très satisfait du produit,1,France,3
La qualité Logitech,5.0,voilà maintenant plus de deux ans que jai la souris et je peux je pense en faire un commentaire  elle est fantastiquecette souris ne mas jamais trahis et est encore en superbe état  même dans les mains dun joueur très avidepetites choses a savoir qui sont liées a lutilisation très fréquente que jen fait  le revêtement antidérapant sur les côtés pour le maintiens avec les doigts disparaît après environ  ans et trois quart cest attendu et n’empêche pourtant pas dutiliser la souris comme tout les joursla molette de la souris est fait dans un métal prompt a loxydation sûrement un fer couvert dun revêtement cest le seul point noir de la souris la molette va graduellement afficher des tâches de rouilles et une texture granuleuse noubliez pas de le nettoyer de temps en temps a lalcool ou la molette deviendra un nid a bactérie une souris super durable qui saura ravir les joueurs avec toutes ces fonctionnalités la plupart plutôt gadget mais avoir plusieurs touches en plus sur la souris est juste un luxe fantastique,0,France,3
touches dcoratives,3.0,les touchesboutons son pure décorationeliminez  touches inutiles latérales qui servent de  ou  dpieliminez  touche dorsale pour niveau batterieeliminer fonction roulette gauche et droit ça fonctionne pas ou en tout cas impossible configurer souris sur mon pc acer predator   gen rtxreste  touches latérales  roulette haut bas  clic roulette   clic pour roulette crantée ou pasvaut  pas son argent malgré sa précision connections parfaite sans retard bon niveau de batterie  dommage que ces boutons décoratifs ne servent à rien à part une prise en main inconfortable car le reste est très bien,0,France,3
Excellente souris,5.0,pour ma part jai acheté la logitech  hero jétais assez sceptique au départ car jai entendu dire quelle nétait pas conçue pour les petites mains après lavoir testée même si ma main ne couvre pas toute la souris jarrive quand même à jouer convenablement la prise en main est parfaite elle sagrippe très bien à la main le logiciel est complet et très bien fait la molette débrayable est très pratique notamment pour de la navigation personnellement je nai pas eu de problème avec la molette mise à part quelle fait pas mal de bruit mais ça ne me dérange pas le câble tressé est de très bonne qualité pour ce qui est de la durée de vie cela fait  mois que je possède la souris et elle fonctionne toujours aussi bien encore heureux puisque jen prends soin,1,France,3
TROP FRAGILE,1.0,aurait pu être un bon produit si il navait pas lâché au bout de  ans et  mois durée de vie scandaleusement faible étant donné le prix le câble sest torsadé alors que celuici nétait soumis à aucune contrainte particulière souris jamais débranchée mouvements localisés sur un tapis de souris de  par  et la souris a cessé de fonctionner du jour au lendemain aucun signe de faiblesse elle nétait juste plus reconnue au démarrage de la machine testé sur différents pcs cest la première fois que je suis amené à changer une souris à cause dune panne depuis que jachète de la game gamer en bref  déçu,2,France,3
"Que dire, elle est top !",5.0,étant un grand fan des souris logitech jai remplacé ma  par celleci et que du plaisir très agréable à prendre main avec en plus un design comme jaime pas exagéré mais bien épuré et arrondi avec le petit plus du rgb discret et paramétrable  elle va de paire avec mon clavier razer pour de belles teintes de vert deux modes pour la molette à cran ou lisse un emplacement pour les poids le cache se retire facilement car aimanté et des boutons personnalisable à souhait via leur logicielen ce qui concerne la solidité rien à redire à noter aussi la présence dun câble tresséelle est précise capteur optique de qualité à vous après de régler la sensibilité selon votre préférenceutilisée principalement pour le jeu ou des simulations mais forcément pour le reste cest parfaitje la recommande sans hésitation pour les gamers même occasionnels vous ne le regretterez pas jen suis sûr,0,France,3
Superbe souris,4.0,tres bonne souris avec de nombreux réglages parfait pour le jeu je suis un joueur occasionnelun seul défaut la molette il y a un bouton pour pour mettre ou non des crans quand on la tourneet soit elle est en mode libre sans crans et on peut défiler très vite mais cela manque de précisions  soit on met les crans mais la roulette devient un peu trop dure à utiliser si on doit beaucoup faire défilerun niveau intermédiaire aurait été parfaitmais je recommande tout de même,0,France,3
Souris parfaite pour des grandes mains.,4.0,les   la molette semble extrêmement fragile il suffit de secouer la souris pour entendre la molette bouger latéralement je ne parle pas du défilement en mode débrayée de la molette a voir si cela affecte la molette sur le long terme boutons difficilement utilisable sur les côtés selon le grip jen blâme en partie la taille de la souris qui nest pas compatible avec la taille de mes mains hauteur  largeur  le poids elle est très lourde fatigue du poignet assez rapide là encore en partie la taille de ma main mais surtout le poids moins facilement manipulable que dautres sourisles   le logiciel ghub le bouton fps en jeu la précision et la stabilité quand on a les mains assez grandes pour la manipuler comme on le souhaite solidité du câble et de la structure générale de la souris la molette débrayable qui na plus de problème doscillation depuis des années une manette logitech quoi hyper fiable et durablebilan  si lon a pas peur de la qualité de la molette cette souris est parfaite pour qui a la bonne taille de main souris très agréable qui glisse parfaitement très précisejai renvoyé la souris et jai pris une coolermaster  souris plus petite au moins deux fois plus légère adaptée à mes mains et dune précision féroce,0,France,3
Très correct pour le prix,4.0,souris achetée à € elle est vraiment agréable à prendre en mainpetit bémol sur le bouton de gauche qui nest pas facilement accessible jai un petit poucela molette est débrayable et tout les bouton sont configurableil est aussi possible de rajouter des poids de  afin de lajuster au mieux à votre maindes profils sont aussi configurables et il est possible de changer la couleur du logo par profil ce qui est utile si vous êtes plusieurs à lutiliser sur un même pc,0,France,3
prix raisonnable pour très bonne qualité,5.0,jai acheté cette souris voilà  car je souhaitais une souris gaming de bonne qualité à un prix raisonnable et je dois le dire je nai pas été déçuje joue principalement à league of legends ou osu avec une grosse sensibilité  or cette souris propose une gamme de sensibilité allant jusquà   ce qui ne sert à rien selon mon humble aviselle possède bon nombre de boutons programmables ce qui est toujours appréciable lorsque lon joue et propose la possibilité denregistrer plusieurs profils de sensibilités que lon peut changer dune pression sur lun des boutons de la sourissur chacun de ces profils on peut préenregistrer  sensibilités différentes que lon peut modifier grâce à deux boutons situés à gauche du clic gauche chose très pratique si lon a lhabitude de changer de sensibilité entre nos différents jeuxvis à vis de la précision je nai rien à redire bien que ce soit pour moi assez difficile de juger dune souris à lautreenfin la taille de la souris est tout de même grande voir photo et son poids relativement grand il est possible de laugmenter avec des masses fournies  aussi je la déconseillerait aux amateurs de petite sourisen bref une souris gros format de très bonne qualité très ergonomique à prix raisonnable,0,France,3
Molette mauvaise,2.0,la souris a lair robuste et agréable mais gros point négatif pour moi  la molette en mode défilement rapide elle est trop imprécise et il y a un saut en arrière lorsquelle sarrête donc si on scroll vers le bas à la fin elle remonte dun bond vers le haut je ne me vois pas mhabituer à ça en mode non défilement rapide la molette est bien trop dure et bruyantejai comparé ça à mon ancienne souris bas de gamme et cest tellement mieux quand la roulette est précise et pas dure à appuyer je précise que jai déjà eu pas mal de souris gaming haut de gamme et je nai jamais eu ce problème ailleurs juste sur cette gamme,0,France,3
"Le matériel est génial, le logiciel est pourri.",1.0,en quelques mots le produit est top la souris est super bien finie elle tombe bien dans la main de ce coté rien à dire après on aime ou pas ça dépend de la morphologie de chacunpar contre gros point noir concernant le logiciel g hub dou ma note qui permet de gérer les fonctionnalités avancées de la souris couleurs sensibilité attribution de raccourcis etc celuici ne détecte simplement plus la souris après un redémarrage du pc cest un souci apparemment connu pour lequel logitech napporte aucune solutionle seul moyen après avoir testé tous les bidouillages proposés sur le net est de désinstaller puis de réinstaller le logiciel pour que celuici détecte à nouveau la souriscest dommage et si cétait à refaire je ne reprendrai pas cette souris malgré ses très bonnes qualités,0,France,3
Capteurs du bouton gauche défectueux,1.0,tldrà fuir comme la peste moins de  mois après lachat le bouton gauche de la souris a commencé à exhiber un comportement défectueuxlorsque lon maintient le le bouton gauche pressé et quon déplace la souris on perd régulièrement la pression sur le bouton la souris réagit comme si on relâchait puis repressait immédiatement ce boutondepuis cest de pire en pire et ça en devient inutilisable  lorsque lon scrolle par exemple on perd laccroche à la scrollbar et on bouge la souris dans le vide quand on cherche à sélectionner le texte soit on perd la sélection soit elle sarrête avant quon relâche le bouton quand on déplace un élément fichier etc et quil est relâché au petit bonheur la chance etcdans les jeux cest la même galère dès quil sagit de faire du dragndrople pire cest quil suffit de faire quelques recherches sur le net pour s’apercevoir que ce nest pas un problème isolé cest un souci hardware propre au modèle pour les anglophones faites une recherche sur logitech  click not holdingallez comprendre pourquoi ce modèle est encore en vente alors que le problème est connubref la qualité logitech nest plus ce quelle était et au prix de cette souris cest juste inacceptableachetez nimporte quelle autre souris à la moitié du prix de celleci ça ne pourra pas être pire ,0,France,3
Toujours au top.,5.0,aujourdhui on trouve ce type de souris pour moins de  il ny a pas de comparaison avec des souris bas de gamme le paramétrage la glisse les performances et lusure si vous êtes un joueur quotidien il faut prendre ce type de souris pas forcement cette marque main du haut de gamme néanmoins jai eu des logitech pendant plus de     proteus core les plus vielles fonctionnent encore parfaitement seule la  cest usée un peu plus rapidement clic double et maintien aléatoire du switch comme tous les produit de notre époque donc juste qqes points négatif mineure des switch moins endurant pas de capteur lazer même si celuici fonctionne parfaitement et le bouton de ciblage pouce et trop loin pour les  fingertip grip,0,France,3
